x,y,value,pct
0,0,414,5.2
1,0,100,1.3
5,0,4236,53.2
6,0,4272,53.6
7,0,5007,62.8
8,0,1493,18.7
9,0,837,10.5
10,0,983,12.3
11,0,144,1.8
0,1,204,2.6
1,1,3095,38.8
3,1,7,0.1
4,1,4164,52.3
5,1,4178,52.4
7,1,2823,35.4
8,1,1088,13.7
9,1,1042,13.1
10,1,540,6.8
11,1,462,5.8
0,2,331,4.2
1,2,3464,43.5
2,2,135,1.7
6,2,215,2.7
7,2,3637,45.6
8,2,3095,38.8
9,2,1116,14
10,2,1751,22
11,2,562,7.1
0,3,297,3.7
1,3,813,10.2
2,3,935,11.7
4,3,201,2.5
5,3,1409,17.7
6,3,2502,31.4
7,3,1127,14.1
8,3,1147,14.4
10,3,55,0.7
11,3,180,2.3
0,4,446,5.6
1,4,964,12.1
2,4,2294,28.8
3,4,1817,22.8
4,4,3636,45.6
5,4,869,10.9
6,4,909,11.4
7,4,1396,17.5
8,4,703,8.8
0,5,408,5.1
1,5,963,12.1
2,5,708,8.9
3,5,814,10.2
4,5,792,9.9
5,5,1261,15.8
6,5,630,7.9
7,5,992,12.4
8,5,3387,42.5
9,5,2343,29.4
10,5,2390,30
11,5,134,1.7
0,6,728,9.1
1,6,5261,66
2,6,1046,13.1
3,6,1279,16
4,6,2244,28.2
5,6,683,8.6
6,6,687,8.6
7,6,766,9.6
8,6,584,7.3
9,6,433,5.4
10,6,317,4
11,6,501,6.3
0,7,946,11.9
1,7,53,0.7
4,7,652,8.2
5,7,521,6.5
6,7,506,6.3
7,7,436,5.5
8,7,474,5.9
9,7,179,2.2
10,7,230,2.9
11,7,283,3.6
0,8,168,2.1
3,8,336,4.2
4,8,3703,46.5
5,8,501,6.3
6,8,464,5.8
7,8,549,6.9
8,8,297,3.7
9,8,259,3.3
10,8,237,3
11,8,284,3.6
0,9,220,2.8
2,9,261,3.3
3,9,2290,28.7
4,9,553,6.9
5,9,1154,14.5
6,9,821,10.3
7,9,356,4.5
8,9,298,3.7
9,9,140,1.8
10,9,224,2.8
11,9,569,7.1
0,10,231,2.9
2,10,422,5.3
3,10,1382,17.3
6,10,662,8.3
7,10,384,4.8
8,10,200,2.5
9,10,127,1.6
10,10,186,2.3
11,10,626,7.9
0,11,210,2.6
1,11,192,2.4
2,11,815,10.2
3,11,120,1.5
6,11,62,0.8
7,11,305,3.8
8,11,163,2
9,11,139,1.7
10,11,208,2.6
11,11,74,0.9
