x,y,value,pct
1,0,465,5.7
9,0,5,0.1
10,0,4,0
11,0,124,1.5
0,1,39,0.5
1,1,8,0.1
3,1,3895,47.6
7,1,16,0.2
8,1,16,0.2
9,1,32,0.4
10,1,197,2.4
11,1,3,0
0,2,1,0
1,2,13,0.2
2,2,99,1.2
6,2,274,3.3
8,2,1,0
9,2,36,0.4
11,2,8,0.1
1,3,9,0.1
2,3,48,0.6
4,3,78,1
5,3,11,0.1
6,3,2,0
7,3,47,0.6
8,3,2,0
10,3,86,1.1
11,3,28,0.3
0,4,1,0
1,4,16,0.2
2,4,2,0
3,4,88,1.1
4,4,1,0
5,4,31,0.4
6,4,12,0.1
7,4,10,0.1
8,4,19,0.2
0,5,2,0
1,5,1,0
2,5,123,1.5
3,5,20,0.2
4,5,16,0.2
5,5,5,0.1
6,5,38,0.5
7,5,15,0.2
8,5,1,0
9,5,2,0
10,5,3,0
11,5,148,1.8
0,6,6,0.1
1,6,2,0
2,6,25,0.3
3,6,11,0.1
4,6,1,0
5,6,17,0.2
6,6,12,0.1
7,6,6,0.1
8,6,17,0.2
9,6,1,0
10,6,46,0.6
0,7,1,0
1,7,618,7.6
4,7,39,0.5
5,7,16,0.2
6,7,12,0.1
7,7,14,0.2
8,7,5,0.1
9,7,63,0.8
10,7,5,0.1
11,7,38,0.5
0,8,58,0.7
3,8,181,2.2
4,8,2,0
5,8,9,0.1
6,8,25,0.3
7,8,6,0.1
8,8,161,2
9,8,6,0.1
10,8,20,0.2
11,8,7,0.1
0,9,1,0
2,9,20,0.2
4,9,48,0.6
5,9,6,0.1
7,9,10,0.1
8,9,18,0.2
9,9,52,0.6
10,9,5,0.1
11,9,15,0.2
0,10,1,0
2,10,62,0.8
3,10,2,0
6,10,22,0.3
7,10,13,0.2
8,10,3,0
9,10,3,0
10,10,39,0.5
11,10,5,0.1
1,11,12,0.1
3,11,46,0.6
6,11,23,0.3
7,11,10,0.1
8,11,7,0.1
9,11,10,0.1
10,11,4,0
11,11,212,2.6
